,S2,SWE,Green_by_red,Blue_by_red,OTSU_ndwi_ful,OTSU_ndwi_ent,NDWI_RG_tol,NIR_RG_tol,SWIR_RG_tol
1987-05-22-23-08-32,L5,1.2134,1.5103182828916468,2.1966659254832237,closed,closed,0.7,0.17500000000000002,0.07
1987-05-29-23-14-53,L5,0.5607,1.5121641491113487,2.2099982891030736,closed,closed,0.75,0.14500000000000002,0.07
1987-09-02-23-17-14,L5,0.5166,1.495478031175463,1.8914393299922103,closed,closed,0.7,0.16,0.1
1987-09-18-23-17-38,L5,0.5128,1.5367283028874483,1.9504785722021531,closed,closed,0.75,0.19,0.19
1987-09-27-23-11-39,L5,1.1313,1.4861207091639028,1.930683825061376,closed,closed,0.65,0.17,0.14
1987-10-04-23-17-58,L5,0.5186,1.4707962760992344,1.833803949320813,closed,closed,0.65,0.17,0.155
1987-10-29-23-12-13,L5,1.1493,1.636095750139965,2.1428502358165056,closed,closed,0.65,0.20500000000000002,0.195
1987-11-14-23-12-35,L5,1.1365,1.5370756644030343,1.9653272348316735,closed,closed,0.55,0.195,0.195
1987-11-21-23-18-53,L5,0.5465,1.4699042007742027,1.7872333740185478,closed,closed,0.65,0.195,0.15
1988-01-17-23-13-38,L5,1.156,1.4275279687747775,1.7711695744284222,closed,closed,0.6,0.185,0.125
1988-01-24-23-19-56,L5,0.6194,1.5200610866932214,1.9608466035326808,closed,closed,0.75,0.2,0.16
1988-02-25-23-20-26,L5,0.6322,1.4801581718079635,1.855745770434121,closed,closed,0.8,0.20500000000000002,0.16
1988-03-12-23-20-35,L5,0.6527,1.4623793316759024,1.777829762552293,closed,closed,0.75,0.22,0.155
1988-03-28-23-20-43,L5,0.6152,1.465606295068241,1.8868808068093579,closed,closed,0.65,0.17500000000000002,0.15
1988-04-13-23-20-47,L5,0.4486,1.3239326513500618,1.9079004521688072,closed,closed,0.65,0.165,0.125
1988-04-22-23-14-40,L5,1.1493,1.5248733008215414,2.5454215416441164,closed,closed,0.65,0.17500000000000002,0.115
1988-05-08-23-14-50,L5,1.5462,1.5486601178776354,2.5564268264628836,open,closed,0.55,0.115,0.11
1988-06-09-23-15-03,L5,1.3239,1.6099248160459878,2.4716285293881226,open,closed,0.55,0.12000000000000001,0.07500000000000001
1988-06-16-23-21-17,L5,2.011,1.2674556703735167,1.7737728917884341,closed,closed,0.1,0.13,0.095
1988-06-25-23-15-08,L5,1.539,1.6274740253458893,2.400252052429775,open,closed,0.5,0.115,0.085
1988-07-02-23-21-21,L5,2.5762,1.0146291841557797,1.1251089146384068,open,open,0.05,0.055,0.034999999999999996
1988-07-11-23-15-12,L5,1.4479,1.4014717305865199,2.109941786225549,open,open,0.15,0.045,0.049999999999999996
1988-07-27-23-15-14,L5,1.3095,1.6450924365815067,2.4227153215220163,open,open,0.25,0.07,0.06
1988-08-03-23-21-25,L5,1.1072,1.6318695490195776,2.3092227533450758,open,open,0.4,0.085,0.09000000000000001
1988-08-12-23-15-13,L5,1.4936,1.6151942611728674,2.3049805176639158,open,open,0.15,0.049999999999999996,0.04
1988-08-28-23-15-18,L5,1.2503,1.6344997135723238,2.2427792936889364,open,open,0.1,0.025,0.02
1988-09-04-23-21-29,L5,1.0316,1.5577780248447337,2.017915203063121,open,open,0.3,0.07,0.06
1988-09-13-23-15-16,L5,1.3201,1.5225306289674552,2.0482394196538993,open,open,0.1,0.034999999999999996,0.030000000000000002
1988-09-29-23-15-09,L5,1.3043,1.410786627130372,1.7960283821178316,open,open,0.1,0.030000000000000002,0.030000000000000002
1988-10-06-23-21-20,L5,0.715,1.5176649134207072,1.9839451906856103,open,open,0.2,0.049999999999999996,0.04
1988-11-23-23-21-17,L5,0.542,1.5459175514420267,1.7798508027752018,open,open,0.15,0.025,0.01
1988-12-02-23-15-03,L5,1.3225,1.4067066144490097,1.7384504656090323,open,open,0.2,0.11,0.08
1988-12-18-23-14-51,L5,1.319,1.5284587161073258,1.947044747990329,open,open,0.4,0.115,0.049999999999999996
1989-01-10-23-20-55,L5,0.6865,1.4213237026632246,1.8821812813776089,open,open,0.15,0.045,0.030000000000000002
1989-01-19-23-14-30,L5,1.1792,1.547637213608847,2.0037373148085664,open,open,0.15,0.045,0.025
1989-02-27-23-20-29,L5,1.1304,1.5197966011625414,1.9119011410171227,open,closed,0.55,0.17,0.14500000000000002
1989-03-15-23-19-56,L5,0.5726,1.1672645950380245,1.62988868099885,open,open,0.35,0.06,0.034999999999999996
1989-06-12-23-12-29,L5,1.5392,1.4566572998113387,2.4790054860897546,open,open,0.5,0.085,0.065
1989-07-14-23-11-53,L5,1.2481,1.5868661774164283,2.4451147948832266,closed,closed,0.6,0.17500000000000002,0.06
1989-07-21-23-17-55,L5,0.727,1.5680273645290792,2.277677008820501,open,open,0.25,0.04,0.04
1989-07-30-23-11-35,L5,1.2992,1.47246942478731,2.3191277816344424,open,closed,0.5,0.125,0.07500000000000001
1989-08-06-23-17-36,L5,0.6856,1.5323626498682021,2.225056916060866,open,open,0.45,0.095,0.085
1989-08-15-23-11-11,L5,1.2424,1.494590172808536,2.2416809521835996,closed,closed,0.55,0.16,0.07
1989-09-07-23-16-52,L5,0.9241,1.5881712831654329,2.056146780970237,open,closed,0.6,0.165,0.15
1989-09-16-23-10-20,L5,1.229,1.6775807551996293,2.332085421494859,open,open,0.25,0.06,0.055
1989-09-23-23-16-26,L5,0.7664,1.547479385387746,2.0265605659701715,open,closed,0.6,0.14500000000000002,0.115
1989-10-02-23-10-11,L5,1.251,1.567849213105255,2.1014984602430666,open,open,0.25,0.08,0.034999999999999996
1989-10-09-23-16-07,L5,0.7704,1.4588208227887651,1.8224257882621202,closed,closed,0.65,0.22,0.17500000000000002
1989-10-18-23-09-27,L5,1.2242,1.522882518367066,2.051464738075796,open,open,0.3,0.07500000000000001,0.06
1990-03-02-23-11-39,L5,0.7067,1.3430928027978255,1.7471438928373013,open,closed,0.5,0.17,0.13
1990-03-11-23-05-10,L5,1.2006,1.5751008273011737,2.151581647369117,open,open,0.3,0.07,0.030000000000000002
1990-03-27-23-04-40,L5,1.3952,1.5581730454140286,2.143896388268663,open,closed,0.5,0.14,0.1
1990-04-12-23-04-42,L5,1.3203,1.2249005488448403,1.8804246480065634,closed,closed,0.65,0.125,0.125
1990-06-06-23-10-52,L5,0.59,1.40061668713088,2.2118490311139376,open,open,0.3,0.08,0.065
1990-07-08-23-10-49,L5,0.569,1.3213976991060168,1.9164117957419924,open,open,0.25,0.07,0.04
1990-07-24-23-10-45,L5,0.5778,1.4824104882902849,2.089570768512887,open,open,0.4,0.095,0.09000000000000001
1990-08-09-23-10-40,L5,0.6606,1.2777530067438356,1.9156679074999552,open,open,0.5,0.07500000000000001,0.06
1990-09-03-23-04-21,L5,1.2159,1.5349978896593945,2.048244741075528,open,open,0.15,0.06,0.055
1990-09-10-23-10-32,L5,0.8197,1.6033015487100273,2.09090645925099,closed,closed,0.55,0.16,0.155
1990-09-19-23-04-17,L5,1.2962,1.088816547246447,1.4800083415239864,open,open,0.15,0.055,0.049999999999999996
1990-09-26-23-10-25,L5,0.9979,1.3657101442901616,2.06541899519194,closed,closed,0.6,0.16,0.155
1990-10-05-23-04-04,L5,1.1858,1.4360816075446208,2.1230737291254185,open,open,0.15,0.04,0.015
1990-10-21-23-04-03,L5,1.1936,1.4241379430595944,1.8188247315667216,open,open,0.35,0.095,0.095
1990-10-28-23-10-10,L5,0.7506,1.4841253168207393,1.8898380651931497,closed,closed,0.75,0.23,0.16
1990-11-22-23-03-54,L5,1.1981,1.4815572146098421,1.850702324026909,closed,closed,0.7,0.215,0.14500000000000002
1990-12-24-23-04-08,L5,1.1925,1.3966782167632865,1.7588127081034213,closed,closed,0.55,0.215,0.155
1991-01-09-23-04-34,L5,1.1578,1.3881997897065903,1.725273357064347,closed,closed,0.55,0.195,0.16
1991-03-21-23-12-14,L5,0.6548,1.400143200830861,1.7125825922148703,closed,closed,0.75,0.20500000000000002,0.135
1991-04-15-23-06-27,L5,1.2967,1.5729820829775452,1.9969125308380424,closed,closed,0.65,0.20500000000000002,0.08
1991-04-22-23-12-42,L5,0.6829,1.4429127141167126,1.8058690285924996,closed,closed,0.7,0.215,0.09000000000000001
1991-06-25-23-13-45,L5,0.5994,1.4746346499450678,2.135544592553489,open,closed,0.5,0.14500000000000002,0.08
1991-07-20-23-07-55,L5,1.3662,1.4716245488985833,2.275118155481847,closed,closed,0.65,0.155,0.08
1991-07-27-23-14-10,L5,0.652,1.4866250951360442,2.1272523289285514,open,open,0.4,0.085,0.08
1991-08-05-23-08-01,L5,1.3556,1.4534590984531428,2.120701321089272,open,open,0.45,0.1,0.1
1991-08-12-23-14-12,L5,0.6388,1.5118310152442205,2.0395974805026236,open,open,0.15,0.034999999999999996,0.04
1991-08-28-23-14-21,L5,0.5944,1.491972164402485,1.9445741344177556,open,open,0.15,0.055,0.049999999999999996
1991-09-06-23-08-20,L5,1.2224,1.5234855732585457,2.0831418985121424,open,open,0.25,0.085,0.1
1991-09-29-23-14-39,L5,0.6518,1.389948919480498,1.7471704832495143,open,open,0.3,0.085,0.095
1991-10-08-23-08-34,L5,1.085,1.3359809038948856,1.7030785334292189,open,open,0.15,0.045,0.030000000000000002
1991-10-24-23-08-37,L5,1.1362,1.3552397517903143,1.7140385375724303,open,open,0.1,0.045,0.04
1991-11-09-23-08-43,L5,1.192,1.3620903786384517,1.72454815051821,open,open,0.15,0.045,0.06
1991-12-02-23-15-08,L5,0.5175,1.3531452590563176,1.6342030262868616,open,open,0.2,0.09000000000000001,0.08
1991-12-18-23-15-01,L5,0.5638,1.3202314414550214,1.7750538046379232,open,open,0.25,0.085,0.055
1992-01-12-23-08-46,L5,1.2274,1.3383363354435607,1.8991665244670015,open,open,0.35,0.115,0.09000000000000001
1992-01-19-23-14-57,L5,0.5134,1.3900037859361867,1.7629279437492202,open,open,0.15,0.01,0.005
1992-01-28-23-08-51,L5,1.179,1.4489184209394916,1.854442932925102,open,open,0.35,0.115,0.115
1992-03-23-23-14-49,L5,0.6379,1.4304947931157919,1.8140997392928861,open,open,0.3,0.08,0.09000000000000001
1992-04-08-23-14-40,L5,0.5848,1.3936388123931247,1.7993461011354202,open,open,0.35,0.095,0.07500000000000001
1992-04-24-23-14-32,L5,0.5785,1.3776478145861144,1.7609053813046875,open,open,0.3,0.115,0.10500000000000001
1992-05-03-23-08-18,L5,1.2339,1.5491465907399533,2.1560220716388705,open,open,0.1,0.034999999999999996,0.02
1992-05-10-23-14-25,L5,0.4349,1.4370788206908292,1.8696761458305742,open,open,0.2,0.07,0.07500000000000001
1992-05-19-23-08-09,L5,1.2348,1.4006587077830448,1.906638485162291,open,open,0.2,0.065,0.07
1992-05-26-23-14-17,L5,0.5326,1.4135403949279017,1.9638858504721435,open,open,0.25,0.07500000000000001,0.07500000000000001
1992-06-04-23-08-01,L5,1.2472,1.47781421145062,2.1366070215413044,open,open,0.25,0.065,0.055
1992-06-11-23-14-07,L5,0.4489,1.4320177984740172,1.9928535064688302,open,open,0.1,0.055,0.049999999999999996
1992-06-20-23-07-48,L5,1.2258,1.4326345471185284,2.08278263046425,open,open,0.25,0.15,0.07
1992-07-06-23-07-37,L5,1.1992,1.3207665971793745,1.822775137460187,open,open,0.2,0.09000000000000001,0.07500000000000001
1992-07-13-23-13-43,L5,0.5366,1.4398288204307945,2.025178409271527,open,open,0.1,0.049999999999999996,0.04
1992-07-22-23-07-24,L5,1.2548,1.4713025989018547,2.11932214355389,open,closed,0.35,0.14500000000000002,0.10500000000000001
1992-08-07-23-07-12,L5,1.2215,1.4641741231537833,2.0729076297047277,open,open,0.3,0.135,0.1
1992-08-14-23-13-16,L5,0.5191,1.5502735644168906,2.044154767793115,open,open,0.15,0.045,0.055
1992-08-30-23-13-01,L5,0.5108,1.4049722376768883,1.8118618915284508,open,open,0.1,0.04,0.015
1992-09-15-23-12-47,L5,0.5049,1.4062012356035152,1.7973361854251906,open,open,0.15,0.034999999999999996,0.030000000000000002
1992-09-24-23-06-25,L5,0.9153,1.3289396701368614,1.6766690837663687,open,open,0.15,0.01,0.015
1992-10-01-23-12-25,L5,0.7301,1.2124736524573128,1.438891395189379,open,open,0.25,0.1,0.07500000000000001
1992-10-17-23-12-10,L5,0.5067,1.066099837717684,1.139994880074496,open,open,0.05,0.049999999999999996,0.034999999999999996
1993-01-14-23-06-09,L5,1.2262,1.426482437441086,1.7537754283770104,open,closed,0.45,0.17500000000000002,0.155
1993-02-06-23-12-36,L5,0.5764,1.5075354565859131,1.8901117463215908,open,open,0.1,0.045,0.01
1993-02-15-23-06-28,L5,1.2341,1.4476979491282231,1.8606151835520548,open,open,0.35,0.125,0.11
1993-02-22-23-12-39,L5,0.6125,1.385375547693072,1.688518116523075,open,open,0.15,0.04,0.025
1993-03-19-23-06-40,L5,1.2758,1.4718742609579176,1.8957528585586487,open,open,0.25,0.10500000000000001,0.11
1993-03-26-23-12-51,L5,0.6723,1.4945968509722394,1.890150863334885,open,open,0.3,0.09000000000000001,0.08
1993-04-11-23-12-59,L5,0.4363,1.2044365927221292,1.4200384074862817,open,open,0.15,0.095,0.085
1993-05-13-23-13-10,L5,0.5998,1.5011216016573357,1.972957146973941,open,open,0.4,0.135,0.095
1993-06-07-23-07-04,L5,1.2294,1.5223307568663842,2.17200156771909,open,open,0.2,0.07500000000000001,0.07500000000000001
1993-06-14-23-13-13,L5,0.5144,1.5603317581251201,2.2771270563081543,open,open,0.35,0.09000000000000001,0.030000000000000002
1993-06-30-23-13-06,L5,0.524,1.4905394046171754,2.1439963675766434,open,open,0.4,0.125,0.09000000000000001
1993-07-09-23-06-54,L5,1.2323,1.5437924978673128,2.395778538836561,open,open,0.35,0.11,0.07500000000000001
1993-07-16-23-13-05,L5,0.5713,1.608502036011209,2.4084062101724952,open,open,0.45,0.135,0.095
1993-07-25-23-06-53,L5,1.2206,1.5328788094016914,2.305940266287982,open,open,0.25,0.095,0.095
1993-08-01-23-13-04,L5,0.4943,1.528673280190871,2.225683217401441,open,open,0.1,0.049999999999999996,0.04
1993-08-10-23-06-54,L5,1.2447,1.5704344879159748,2.3135854418333848,open,closed,0.45,0.165,0.115
1993-08-17-23-13-05,L5,0.4905,1.591676874723602,2.2842041991860595,open,open,0.15,0.04,0.030000000000000002
1993-09-27-23-06-49,L5,1.2841,1.4753356055844649,1.9535913278282013,open,closed,0.5,0.15,0.14500000000000002
1993-10-04-23-12-58,L5,0.5697,1.5980202023920282,2.07066691964391,open,open,0.1,0.08,0.034999999999999996
1993-10-20-23-12-50,L5,0.558,1.483891559575227,1.87956754894018,open,open,0.45,0.12000000000000001,0.09000000000000001
1993-11-05-23-12-44,L5,0.5938,1.5001939347037163,1.9105655309863867,open,open,0.45,0.10500000000000001,0.055
1993-11-21-23-12-36,L5,0.6125,1.4639297691036992,1.7912530571882894,open,open,0.5,0.14500000000000002,0.12000000000000001
1993-11-30-23-06-24,L5,1.1945,1.4745198574871123,1.8809780865949874,open,open,0.2,0.030000000000000002,0.01
1994-01-08-23-12-11,L5,0.5276,1.4426432794696535,1.716900400570775,open,open,0.2,0.049999999999999996,0.015
1994-01-17-23-05-51,L5,1.2492,1.4694567382383203,1.834475570723502,open,open,0.45,0.115,0.09000000000000001
1994-01-24-23-11-58,L5,0.5184,1.4629295479309599,1.7859565471339742,open,open,0.3,0.07500000000000001,0.034999999999999996
1994-02-09-23-11-48,L5,0.5582,1.2678336765211817,1.4555422266898799,open,open,0.15,0.04,0.02
1994-03-22-23-05-00,L5,1.3905,1.4172351819728806,1.8818260965144973,closed,closed,0.55,0.15,0.14
1994-04-07-23-04-43,L5,1.2789,1.4209712428447672,1.8712949414363313,open,open,0.4,0.09000000000000001,0.07500000000000001
1994-04-23-23-04-26,L5,1.2384,1.5183690136880594,2.2580504849093086,open,open,0.3,0.085,0.07500000000000001
1994-04-30-23-10-29,L5,0.5447,1.5715225425712265,2.336752760062207,open,open,0.45,0.095,0.065
1994-06-01-23-09-54,L5,0.7322,1.463096686221153,2.136409375828957,open,closed,0.5,0.13,0.10500000000000001
1994-07-12-23-02-43,L5,1.2834,1.5647510038141876,2.4252307070083887,open,closed,0.4,0.09000000000000001,0.095
1994-07-19-23-08-42,L5,0.6104,1.5570885474329699,2.288040758028877,open,closed,0.45,0.13,0.11
1994-07-28-23-02-16,L5,1.3358,1.614168888805467,2.3818846481173552,closed,closed,0.65,0.125,0.1
1994-08-04-23-08-15,L5,0.5911,1.6080049339079077,2.379966862570537,closed,closed,0.65,0.17,0.11
1994-08-13-23-01-52,L5,1.2044,1.629066369866624,2.485297475983257,closed,closed,0.65,0.18000000000000002,0.125
1994-09-05-23-07-30,L5,0.5245,1.6614670836937284,2.1860797532567298,closed,closed,0.65,0.17,0.10500000000000001
1994-09-14-23-01-05,L5,1.195,1.6548854033710956,2.2621135419071567,closed,closed,0.7,0.2,0.14500000000000002
1994-09-21-23-07-04,L5,0.5434,1.5965050014435345,2.06321597315846,closed,closed,0.75,0.18000000000000002,0.14500000000000002
1994-09-30-23-00-37,L5,1.1795,1.5533849918503966,2.099438568587446,closed,closed,0.75,0.21000000000000002,0.17
1994-10-07-23-06-35,L5,0.6147,1.4668433392333189,1.867509001972148,closed,closed,0.7,0.085,0.065
1994-10-16-23-00-07,L5,1.1905,1.5695073028295985,2.124690490738715,closed,closed,0.7,0.22,0.19
1994-10-23-23-06-03,L5,0.5434,1.7307339053303215,2.2519680955238766,closed,closed,0.65,0.225,0.155
1994-12-03-22-58-31,L5,1.1608,1.461721702949374,1.8306276407651914,closed,closed,0.6,0.22,0.14
1994-12-10-23-04-29,L5,0.5614,1.5276666834124266,1.9337098537507027,closed,closed,0.65,0.23,0.155
1995-01-11-23-03-24,L5,0.5654,1.5282791542665366,1.9473967187914705,closed,closed,0.65,0.22,0.15
1995-01-20-22-56-53,L5,1.163,1.4381167900198835,1.9481120515609531,closed,closed,0.55,0.18000000000000002,0.14
1995-02-12-23-02-07,L5,0.6041,1.4629038945292199,1.8387185136846558,closed,closed,0.75,0.21000000000000002,0.15
1995-02-21-22-55-35,L5,1.1912,1.4553641809603457,1.94175168020867,closed,closed,0.75,0.215,0.15
1995-03-09-22-54-57,L5,1.1763,1.5903945274998221,2.295252217768681,closed,closed,0.7,0.21000000000000002,0.135
1995-03-16-23-00-51,L5,0.5632,1.4385556821823324,1.8607290485834338,closed,closed,0.65,0.195,0.115
1995-04-01-23-00-12,L5,0.574,1.5554787277118074,1.9897599797093795,closed,closed,0.75,0.215,0.135
1995-04-17-22-59-32,L5,0.5418,1.5149359369841409,2.0070335351697106,closed,closed,0.75,0.195,0.13
1995-05-03-22-58-50,L5,0.5384,1.5406268772873772,2.1776086121916647,closed,closed,0.7,0.17500000000000002,0.08
1995-05-28-22-51-30,L5,1.3198,1.545123150339582,2.3590491105469042,closed,closed,0.65,0.195,0.11
1995-06-04-22-57-20,L5,0.5483,1.4364101756748888,2.131269131333243,closed,closed,0.7,0.195,0.095
1995-06-20-22-56-37,L5,0.4234,1.4289000631566535,2.3307728075682483,open,closed,0.35,0.034999999999999996,0.015
1995-06-29-22-50-02,L5,1.2123,1.5987063433548963,2.6262180490645664,closed,closed,0.7,0.19,0.1
1995-07-15-22-49-18,L5,1.2031,1.6258900101288989,2.6523108040434513,closed,closed,0.7,0.195,0.11
1995-07-31-22-48-36,L5,1.1959,1.6317928898630683,2.707359211638908,closed,closed,0.65,0.19,0.11
1995-08-07-22-54-28,L5,0.5342,1.6144826695326415,2.522402047282024,closed,closed,0.7,0.195,0.14
1995-08-16-22-47-52,L5,1.1988,1.6788529982178,2.6253849241620664,closed,closed,0.7,0.2,0.135
1995-10-10-22-51-18,L5,0.5661,1.586280833014743,2.095656793927024,closed,closed,0.7,0.21000000000000002,0.15
1995-11-04-22-44-01,L5,1.134,1.66108670116155,2.2826717165141166,closed,closed,0.65,0.18000000000000002,0.13
1995-12-06-22-44-56,L5,1.1169,1.3729296268419129,1.962152168860634,closed,closed,0.7,0.20500000000000002,0.12000000000000001
1995-12-13-22-51-38,L5,0.3285,1.1873056994462405,1.4487433089295298,open,closed,0.7,0.15,0.095
1996-01-14-22-53-57,L5,0.4462,1.56117847565303,2.120896391434193,closed,closed,0.6,0.2,0.125
1996-02-08-22-49-31,L5,1.1153,1.4329196779874955,1.8596134232444164,closed,closed,0.65,0.23,0.155
1996-03-02-22-57-15,L5,0.454,1.4398086887886379,1.8913757739836525,closed,closed,0.35,0.13,0.055
1996-03-11-22-51-39,L5,1.1295,1.610493397834496,2.17843736441622,closed,closed,0.7,0.22,0.15
1996-03-18-22-58-17,L5,0.5121,1.5803787450506601,2.0582119325927457,closed,closed,0.75,0.215,0.12000000000000001
1996-04-19-23-00-17,L5,0.486,1.5747034981964054,2.4505009560019353,closed,closed,0.75,0.22,0.12000000000000001
1996-05-14-22-55-35,L5,1.2406,1.539576679516097,2.491224779636643,closed,closed,0.7,0.21000000000000002,0.095
1996-05-21-23-02-10,L5,0.3978,1.522609905430722,2.3039778291885105,closed,closed,0.65,0.12000000000000001,0.045
1996-05-30-22-56-29,L5,1.0924,1.4522949504649418,2.259473428248039,closed,closed,0.6,0.21000000000000002,0.09000000000000001
1996-07-01-22-58-12,L5,1.0609,1.4894037549737982,2.3209330500129113,closed,closed,0.75,0.22,0.095
1996-07-08-23-04-44,L5,0.4185,1.49968620105446,2.393868603525933,closed,closed,0.8,0.215,0.1
1996-07-17-22-59-02,L5,1.0822,1.5714373331084486,2.6157751764286328,closed,closed,0.7,0.19,0.11
1996-07-24-23-05-35,L5,0.4318,1.5540993969718166,2.413587010814413,closed,closed,0.8,0.2,0.11
1996-08-02-22-59-53,L5,1.0827,1.5157152669663103,2.251824023395897,closed,closed,0.65,0.20500000000000002,0.12000000000000001
1996-08-25-23-07-17,L5,0.4324,1.4930575168648816,2.0689667579895685,closed,closed,0.75,0.20500000000000002,0.08
1996-09-03-23-01-37,L5,1.4992,1.172510139185287,1.7839822063584767,closed,closed,0.75,0.125,0.08
1996-09-10-23-08-11,L5,0.821,1.430166268342378,2.1059466487014764,open,closed,0.6,0.16,0.13
1996-09-26-23-09-03,L5,0.6458,1.6063806055348597,2.3374883644232995,open,open,0.15,0.04,0.045
1996-10-12-23-09-53,L5,0.758,1.5855756072131597,2.0674353880949092,open,open,0.2,0.045,0.025
1996-10-28-23-10-40,L5,0.7916,1.545494208402205,1.9824766478750027,open,open,0.1,0.030000000000000002,0.015
1996-11-13-23-11-25,L5,0.5389,1.5094768202063737,1.90008866475607,open,open,0.1,0.04,0.025
1996-11-29-23-12-11,L5,0.598,1.3536640524594084,1.7207796542803824,open,open,0.2,0.085,0.045
1996-12-08-23-06-26,L5,1.2272,1.5030597922792006,1.9373102371575484,open,open,0.3,0.07,0.055
1996-12-15-23-12-56,L5,0.7164,1.340702658008052,1.6092275708131232,open,open,0.35,0.1,0.09000000000000001
1997-02-17-23-15-51,L5,1.1387,1.5753893525405884,2.0173646792777524,closed,closed,0.6,0.155,0.14
1997-03-14-23-10-40,L5,1.3581,1.4665792676172795,1.9273298001691517,open,closed,0.5,0.14500000000000002,0.14
1997-04-06-23-17-43,L5,0.4921,1.4219764987577033,1.814003780478192,open,open,0.1,0.049999999999999996,0.015
1997-04-15-23-11-51,L5,1.3032,1.4215694690506928,1.9310396245732628,open,closed,0.45,0.15,0.14500000000000002
1997-05-08-23-18-50,L5,0.6512,1.4547434248696003,1.8947787528409579,open,open,0.3,0.06,0.04
1997-05-24-23-19-24,L5,0.6437,1.6289142990678918,2.3594131590358094,open,closed,0.55,0.16,0.07500000000000001
1997-06-09-23-19-57,L5,0.6548,1.5936158062211296,2.3132909101435826,closed,closed,0.55,0.155,0.10500000000000001
1997-07-20-23-15-10,L5,1.2418,1.5512029123638473,2.339602811665173,closed,closed,0.5,0.19,0.11
1997-08-05-23-15-42,L5,1.2184,1.612806409191385,2.394758161446607,closed,closed,0.65,0.18000000000000002,0.10500000000000001
1997-08-12-23-22-07,L5,0.5967,1.5614365715061076,2.2253195247292177,closed,closed,0.75,0.195,0.125
1997-08-21-23-16-13,L5,1.2604,1.5548071103237706,2.141510488406674,closed,closed,0.7,0.195,0.12000000000000001
1997-08-28-23-22-36,L5,0.5533,1.5308769827288946,2.0812621352053475,closed,closed,0.6,0.22,0.23500000000000001
1997-09-13-23-23-04,L5,0.4925,1.354537256428356,1.7038015038249548,closed,closed,0.4,0.16,0.115
1997-09-29-23-23-31,L5,0.5715,1.6098246875419584,2.1644486253100994,closed,closed,0.65,0.195,0.135
1997-10-08-23-17-35,L5,1.1437,1.266113807074534,1.7369601768856011,closed,closed,0.65,0.195,0.14
1997-10-24-23-18-01,L5,1.1279,1.521984960781229,2.116555824685726,closed,closed,0.65,0.22,0.155
1997-10-31-23-24-23,L5,0.5038,1.3604092716253986,1.6012357214418318,closed,closed,0.65,0.195,0.12000000000000001
1997-11-09-23-18-25,L5,1.1016,1.4478304038225271,1.886664867985597,closed,closed,0.6,0.20500000000000002,0.155
1997-11-16-23-24-45,L5,0.4889,1.462365335343557,1.8011837839134266,closed,closed,0.6,0.20500000000000002,0.12000000000000001
1997-11-25-23-18-47,L5,1.1248,1.4687246900073316,1.8591774956768923,closed,closed,0.55,0.22,0.15
1997-12-11-23-19-12,L5,1.1608,1.536909092761836,1.9628008118827942,closed,closed,0.6,0.21000000000000002,0.155
